2015,Song Of The Year,Thinking Out Loud,Ed Sheeran
2014,Song Of The Year,Stay With Me (Darkchild Version),James Napier
2013,Song Of The Year,Royals,Joel Little
2012,Song Of The Year,We Are Young,Jack Antonoff
2011,Song Of The Year,Rolling In The Deep,Adele
2010,Song Of The Year,Need You Now,Charles Kelley
2009,Song Of The Year,Single Ladies (Put A Ring On It),Beyoncé Knowles
2008,Song Of The Year,Viva La Vida,Coldplay
2007,Song Of The Year,Rehab,Amy Winehouse
2006,Song Of The Year,Not Ready To Make Nice,Dan Wilson
2005,Song Of The Year,Sometimes You Can't Make It On Your Own,U2
2004,Song Of The Year,Daughters,John Mayer
2003,Song Of The Year,Dance With My Father,Luther Vandross
2002,Song Of The Year,Don't Know Why,Jesse Harris
2001,Song Of The Year,Fallin',Alicia Keys
2000,Song Of The Year,Beautiful Day,U2
1999,Song Of The Year,Smooth,Itaal Shur
1998,Song Of The Year,My Heart Will Go On (Love Theme From Titanic),James Horner
1997,Song Of The Year,Sunny Came Home,John Leventhal
1996,Song Of The Year,Change The World,Gordon Kennedy
1995,Song Of The Year,Kiss From A Rose,Seal
1994,Song Of The Year,Streets Of Philadelphia,Bruce Springsteen
1993,Song Of The Year,A Whole New World (Aladdin's Theme),Alan Menken
1992,Song Of The Year,Tears In Heaven,Eric Clapton
1991,Song Of The Year,Unforgettable,Irving Gordon
1990,Song Of The Year,From A Distance,Julie Gold
1989,Song Of The Year,Wind Beneath My Wings,Jeff Silbar
1988,Song Of The Year,Don't Worry Be Happy,Bobby McFerrin
1987,Song Of The Year,Somewhere Out There,Barry Mann
1986,Song Of The Year,That's What Friends Are For,Burt Bacharach
1985,Song Of The Year,We Are The World,Lionel Richie
1984,Song Of The Year,What's Love Got To Do With It,Graham Lyle
1983,Song Of The Year,Every Breath You Take,Sting
1982,Song Of The Year,Always On My Mind,Johnny Christopher
1981,Song Of The Year,Bette Davis Eyes,Donna Weiss
1980,Song Of The Year,Sailing,Christopher Cross
1979,Song Of The Year,What A Fool Believes,Kenny Loggins
1978,Song Of The Year,Just The Way You Are,Billy Joel
1977,Song Of The Year,Love Theme From A Star Is Born (Evergreen) (TIE),Barbra Streisand
1977,Song Of The Year,You Light Up My Life (TIE),Joe Brooks
1976,Song Of The Year,I Write The Songs,Bruce Johnston
1975,Song Of The Year,Send In The Clowns,Stephen Sondheim
1974,Song Of The Year,The Way We Were,Alan Bergman
1973,Song Of The Year,Killing Me Softly With His Song,Charles Fox
1972,Song Of The Year,The First Time Ever I Saw Your Face,Ewan MacColl
1971,Song Of The Year,You've Got A Friend,Carole King
1970,Song Of The Year,Bridge Over Troubled Water,Paul Simon
1969,Song Of The Year,Games People Play,Joe South
1968,Song Of The Year,Little Green Apples,Bobby Russell
1967,Song Of The Year,"Up, Up And Away",Jimmy L. Webb
1966,Song Of The Year,Michelle,John Lennon
1965,Song Of The Year,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")",Johnny Mandel
1964,Song Of The Year,"Hello, Dolly!",Jerry Herman
1963,Song Of The Year,Days Of Wine And Roses,Henry Mancini
1962,Song Of The Year,What Kind Of Fool Am I,Anthony Newley
1961,Song Of The Year,Moon River,Henry Mancini
1960,Song Of The Year,Theme From Exodus,Ernest Gold
1959,Song Of The Year,The Battle Of New Orleans,Jimmy Driftwood
1958,Song Of The Year,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno
