➜  math412-final-project git:(master) ✗ python analyze_spotify_misses.py
Best Performance By A Dance Band :  1
Best Contemporary Group Performance (Vocal Or Instrumental) :  1
Best Contemporary Christian Music Performance/Song :  1
Best Rock Performance By A Duo Or Group With Vocals :  1
Best Rhythm & Blues Solo Vocal Performance, Male Or Female :  1
Best Instrumental Arrangement Accompanying A Vocalist(s) :  1
Best Performance - Instrumental Soloist Or Soloists (Without Orchestra) :  1
Best Contemporary Pop Performance - Vocal Duo Or Group :  1
Best Traditional Pop Performance :  1
Best American Roots Song :  1
Best Accompaniment Arrangement For Vocalist(s) Or Instrumentalist(s) :  1
Best Classical Opera Production :  1
Best Performance - Instrumental Soloist Or Soloists (With Orchestra) :  1
Best Classical Performance - Instrumental Solo Without Orchestra :  1
Best Jazz Performance Solo Or Small Group :  1
Best Jazz Performance - Large Group (Instrumental) :  1
Best Original Score From A Motion Picture Or Television Show :  1
Best Jazz Instrumental Performance, Soloist (On A Jazz Recording) :  1
Best Jazz Instrumental Performance Soloist (On A Jazz Recording) :  1
Best Gospel Performance, Contemporary :  1
Best Classical Performance - Operatic Or Choral :  1
Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group :  1
Best Pop Vocal Performance By A Duo Or Group With Vocal :  1
Best Jazz Vocal Performance Duo Or Group :  1
Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra) :  1
Best Vocal Soloist Performance, Classical :  1
Best Instrumental Performance, Non-Jazz :  1
Best Choral Performance - Classical :  1
Best Classical Performance, Instrumental Soloist(s) (Without Orchestra) :  1
Best Historical Reissue :  1
Best Arrangement Accompanying Vocals :  1
Best Contemporary Composition :  1
Best Classical Chamber Music Performance - Instrumental Or Vocal :  1
Best Classical Performance Instrumental Solo Without Orchestra :  1
Best Country Performance, Duo Or Group - Vocal Or Instrumental :  1
Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental) :  1
Best Performance By An Orchestra - For Other Than Dancing :  1
Best Spoken Word Or Drama Recording :  1
Best Instrumental Soloist Performance (With Orchestra) :  1
Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental :  1
Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration) :  1
Best Salsa Performance :  1
Best Country Instrumental Performance (Orchestra, Group Or Soloist) :  1
Best Solo Vocal Performance, Female :  1
Best Gospel Performance By A Duo Or Group :  1
Best Pop Performance By A Duo Or Group With Vocals :  1
Best Latin Rock/Alternative Performance :  1
Best Rhythm & Blues Performance :  1
Best Vocal Soloist Performance :  1
Best Classical Performance, Instrumental Soloist Or Soloists (Without Orchestra) :  1
Best Gospel/Contemporary Christian Music Performance :  1
Best Engineered Recording (Classical) :  1
Best Classical Performance, Instrumental Soloist Or Soloists (With Orchestra) :  1
Best Gospel Performance Contemporary Or Inspirational :  1
Best Performance - Folk :  1
Best Mexican-American/Tejano Music Performance :  1
Best Classical Performance - Vocal Or Instrumental - Chamber Music :  1
Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment) :  1
Best Sacred Performance :  1
Best Classical Performance, Instrumental Soloist(s) (With Orchestra) :  1
Best Classical Performance - Instrumental Soloist (Without Orchestra) :  1
Best Engineered Recording :  1
Best Rock Performance :  1
Best Performance, Documentary Or Spoken Word :  1
Best Contemporary Song :  1
Best Jazz Performance - Small Group Or Soloist With Small Group :  1
Best Tejano Music Performance :  1
Best R&B Vocal Performance By A Group :  1
Best Instrumental Arrangement With Accompanying Vocals :  1
Best Classical Vocal Soloist :  1
Best Classical Performance - Vocal Soloist :  1
Best Original Score Written For A Motion Picture Or A Television Show :  1
Best Contemporary Pop Vocal Performance, Male :  1
Best Chamber Music Performance - Instrumental Or Vocal :  1
Best Country & Western Song :  1
Best Classical Performance - Concerto Or Instrumental Soloist :  1
Best Gospel Vocal Performance, Female :  1
Best Sacred Recording (Musical) :  1
Best Song Written For A Motion Picture, Television Or Other Visual Media. :  1
Best Folk Performance :  1
Best Classical Performance - Instrumental Soloist (With Orchestra) :  1
Best New Country Song :  1
Best Contemporary Vocal Performance By A Group :  1
Best Sacred Performance (Musical) :  1
Best Male Rock Vocal Performance :  1
Best Performance By A Vocal Group Or Chorus :  1
Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental) :  1
Best Instrumental Theme Or Instrumental Version Of Song :  1
Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment) :  1
Best Performance - Orchestra :  1
Best Engineered Recording (Non-Classical) :  1
Best R&B Performance By A Duo Or Group, Vocal Or Instrumental :  1
Best Classical Performance-Instrumental Soloist (Without Orchestra) :  1
Best Contemporary Single :  1
Best Gospel Or Other Religious Recording :  1
Best Classical Vocal Soloist Performance (With Or Without Orchestra) :  1
Best Classical Performance-Instrumental Soloist(s) (With Orchestra) :  1
Best Vocal Soloist Performance (With Or Without Orchestra) :  1
Best Gospel Vocal Performance, Male :  1
Best Arrangement Accompanying Vocalists :  1
Best Sacred Performance (Non-Classical) :  1
Best Jazz Fusion Performance, Vocal Or Istrumental :  1
Best Classical Performance - Opera Cast Or Choral :  1
Best Engineered Recording - Non Classical :  1
Best Instrumental Performance (Other Than Jazz) :  1
Best Arrangement For Voices :  1
Best Arrangement Accompanying Vocal(s) :  1
Best Classical Performance - Choral (Including Oratorio) :  1
Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment) :  1
Best Pop Vocal Performance, Female :  1
Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment) :  1
Best Soul Gospel Vocal Performance Duo, Group, Choir Or Chorus :  1
Best R&B Vocal Performance By A Duo Or Group :  1
Best Documentary Or Spoken Word Recording (Other Than Comedy) :  1
Best Gospel Performance, Contemporary Or Insprirational :  1
Best Instrumental Jazz Performance - Large Group :  1
Best Pop Solo Performance :  1
Best Solo Rock Vocal Performance :  1
Best Contemporary Pop Performance, Chorus :  1
Best Instrumental Performance :  1
Best Contemporary Performance By A Chorus :  1
Best Classical Performance - Instrumental Solo With Orchestra :  1
Best Chamber Music Or Other Small Ensemble Performance :  1
Best Engineered Record (Classical) :  1
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group :  1
Best Contemporary Instrumental Performance :  1
Best Instrumental Soloist With Orchestra :  1
Best Country Solo Performance :  1
Best Comedy Performance (Musical) :  1
Best Instrumental Soloist Performance Without Orchestra :  1
Best Contemporary Jazz Performance (Instrumental) :  1
Best Comedy Performance - Musical :  1
Best Jazz Performance Large Group :  1
Best Country & Western Performance :  1
Best Jazz Composition Of More Than Five Minutes Duration :  1
Best Engineered Record - Non-Classical :  1
Best Spoken Word, Documentary Or Drama :  1
Best Jazz Fusion Performance :  2
Best Instrumental Arrangement With Accompanying Vocal(s) :  2
Best Rock Vocal Performance, Male :  2
Best Arrangement, Instruments and Vocals :  2
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group :  2
Best Country Vocal Performance, Male :  2
Best Background Arrangement :  2
Best Rock & Roll Recording :  2
Best Arrangement, Instrumental or A Cappella :  2
Best Classical Performance - Chamber Music (Including Chamber Orchestra) :  2
Best Classical Performance - Choral (Other Than Opera) :  2
Best Contemporary (R&R) Group Performance, Vocal Or Instrumental :  2
Best Female Rock Vocal Performance :  2
Best Arrangement :  2
Best Classical Performance, Orchestra :  2
Best Gospel Or Other Religious Recording (Musical) :  2
Best New Age Performance :  2
Best Country & Western Vocal Performance - Female :  2
Best Rhythm & Blues Group Performance, Vocal Or Instrumental :  2
Best Classical Performance, Instrumental Soloist (With Orchestra) :  2
Best Male Pop Vocal Performance :  2
Best Country Performance By A Duo Or Group With Vocals :  2
Best Classical Performance - Instrumental Soloist(s) (With Orchestra) :  2
Best Pop Instrumental Performance (Orchestra, Group Or Soloist) :  2
Best Engineering Contribution - Other Than Classical Or Novelty :  2
Best Rock Instrumental Performance (Orchestra, Group Or Soloist) :  2
Best Classical Performance - Instrumental Soloist(s) (Without Orchestra) :  2
